investor_raw,company_id,company_canonical,is_consortium,members,ownership,review_note,_count,_musd
State Grid,state-grid,State Grid,FALSE,,Central SOE,SASAC central SOE (SASAC central list / Asia Society BRI toolkit),27,19023
China Three Gorges,china-three-gorges,China Three Gorges,FALSE,,Central SOE,SASAC central SOE,18,13585
Sinopec,sinopec,Sinopec,FALSE,,Central SOE,SASAC central SOE (China Petroleum & Chemical Corp / Sinopec Group),7,13062
China National Petroleum Corporation,china-national-petroleum-corporation,China National Petroleum,FALSE,,Central SOE,SASAC central SOE (CNPC),13,9700
Gezhouba,gezhouba,China Gezhouba,FALSE,,Central SOE,Filial de China Energy Engineering Group (CEEC); SASAC central SOE,7,8353
China National Offshore Oil Corporation,china-national-offshore-oil-corporation,China National Offshore Oil,FALSE,,Central SOE,SASAC central SOE (CNOOC),7,7476
"MMG, Guoxin, and CITIC Metal Company",mmg-guoxin-and-citic-metal-company,"MMG, Guoxin, and CITIC Metal",TRUE,mmg|guoxin|citic,MIXED,"CONSORCIO Las Bambas (MMG 62.5% / Guoxin 22.5% / CITIC Metal 15%); todos estatales aunque enum=MIXED. Fuente: MMG/Minmetals press, minmetals.com. Definir atribucion de monto",1,7000
PowerChina,powerchina,Power Construction Corporation of China,FALSE,,Central SOE,SASAC central SOE (PowerChina),10,6735
Zijin,zijin,Zijin Mining,FALSE,,Local SOE,"Controlador ultimo: Minxi Xinghang State-owned Assets (gobierno condado Shanghang) ~23%; SOE local/provincial, no SASAC central. Fuente: Wikipedia/Zijin",5,6025
China Railway Construction Corporation,china-railway-construction-corporation,China Railway Construction,FALSE,,Central SOE,SASAC central SOE (CRCC). Controla buros numerados 11-25. Fuente: Wikipedia CRCC,9,5511
Aluminum Corporation of China,aluminum-corporation-of-china,Aluminum Corporation of China,FALSE,,Central SOE,SASAC central SOE (Chinalco / Chalco parent),2,5320
State Power Investment Corporation,state-power-investment-corporation,State Power Investment,FALSE,,Central SOE,SASAC central SOE (SPIC),6,4556
China Harbour Engineering Company and Xi'an Rail Transportation Group,china-harbour-engineering-company-and-xi,China Harbour Engineering Company and Xi'an Rail Transportation,TRUE,china-communications-construction-company|xian-rail-transportation-group,MIXED,CONSORCIO. CHEC = filial de CCCC (SASAC). Xi'an Rail Transp. Group = SOE municipal Xi'an. Definir atribucion de monto,1,4500
Chengdu Tianqi,chengdu-tianqi,Tianqi Lithium,FALSE,,POE,Privada: filial de Chengdu Tianqi Industry Group (controlador Jiang Weiping). Fuente: Wikipedia Tianqi Lithium,2,4279
Sinohydro,powerchina,Power Construction Corporation of China,FALSE,,Central SOE,"Filial de PowerChina (SASAC central SOE). Recomendacion cliente: fusionar a powerchina? Dejo separado -> FUSIONADO a id powerchina (decision 2 aprobada, 2026-07-01).",8,4213
China Southern Power Grid,china-southern-power-grid,China Southern Power Grid,FALSE,,Central SOE,SASAC central SOE,2,4200
